2018-05-26 20:04:41.913 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:19:47.115 INFO  DefaultFactory Logging to 'C:\Users\anton\Desktop\RelationalPart\Server\bin\Debug\net461\' with level Info
2018-05-26 20:19:51.162 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '5/26/2018'

2018-05-26 20:19:52.145 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-78RVP3N\anton' to group 'Performance Monitor Users' because the user is already in group.
2018-05-26 20:19:52.865 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:19:52.909 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:19:52.970 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:20:59.120 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:21:09.209 INFO  CommandMessageHandler Returning None
2018-05-26 20:21:10.145 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:21:20.192 INFO  CommandMessageHandler Returning Fail
2018-05-26 20:22:51.283 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:23:01.343 INFO  CommandMessageHandler Returning None
2018-05-26 20:23:01.568 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:23:11.630 INFO  CommandMessageHandler Returning Fail
2018-05-26 20:31:44.484 INFO  DefaultFactory Logging to 'C:\Users\anton\Desktop\RelationalPart\Server\bin\Debug\net461\' with level Info
2018-05-26 20:31:48.081 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '5/26/2018'

